firm,category,iso_o
Brainium Studios,games,USA
BrainPOP®,apps,USA
BrainPOP®,games,USA
Brave Cats S.a.r.l.,apps,ITA
"BRAVE KNIGHT CO., LTD.",games,TWN
Bridgestone,apps,DNK
BROKKSINDRI,games,TWN
Bryllup.dks foto-app,apps,DNK
BTD STUDIO,games,JPN
BTFIT,apps,BRA
BTfit Overseas SARL,apps,BRA
Budge Studios,games,CAN
"Buffstone Co., Ltd.",games,SAU
Buffy Moon Ltd,games,COL
Buhl Data Service GmbH,apps,DEU
Bullets,games,JPN
Bumble Holding Limited,apps,GBR
Burcu Gul,apps,TUR
BurdaForward GmbH,apps,DEU
Burde Media AB,apps,SWE
Bushiroad Inc.,games,JPN
Business News Media,apps,RUS
Business Standard,apps,IND
Business Weekly Media Group,apps,TWN
Busuu Limited,apps,GBR
Butmeepum Lemotlaamom,apps,KOR
Butterfly Corporation,games,JPN
Butterscotch Shenanigans,games,GBR
Buzzel B.V.,apps,NLD
Byte Labs,apps,USA
Bytedance Pte. Ltd.,apps,CHN
byungchol kim,apps,KOR
Börsenmedien AG,apps,DEU
Bülent Akpınar,apps,MEX
C Mobile,apps,IND
C.E.T - THE CENTER FOR EDUCATIONAL TECHNOLOGY,games,ISR
C2Call GmbH,apps,EGY
C2M,apps,TUR
CAE Crew Apps B.V.,apps,TUR
caesars,games,IDN
caixia xie,games,CHN
"Caixin Media Co., Ltd",apps,CHN
Calazo Förlag AB,apps,SWE
Calculated Industries,apps,USA
Calculator Photo Vault IVS,apps,BRA
Cali Gems,games,USA
calimoto GmbH,apps,DEU
call2friends ltd,apps,ARE
Callpod Inc.,apps,USA
Calls App Limited,apps,NGA
CallStamp Communications SL,apps,ESP
CallToy,apps,IND
Calm.com,apps,USA
"CAM,inc.",apps,JPN
Camaleoa,apps,BRA
Cambridge Learning (Cambridge University Press),apps,RUS
Camouflaj LLC,games,NGA
Camshare Inc.,apps,THA
CamSoft Information,apps,CHN
CANALPLAY,apps,FRA
Candy Mobile,games,HKG
Candy Rufus Games,games,GBR
"Candy Wings, Inc.",games,RUS
Canoe,apps,CAN
"Cantcha, Inc.",apps,PHL
"CAPCOM CO., LTD.",games,JPN
Cappelen Damm AS,apps,NOR
CaptainDevTeam,games,THA
Caracol Televisión S.A.,apps,COL
"Card King, Inc.",games,SAU
"Cardiio, Inc.",apps,BRA
Cardinal Blue,apps,USA
"Care.com, Inc.",apps,USA
CareLabs,apps,KOR
CARFAX Europe,apps,SWE
Carl Chance,games,RUS
Carl Mercier,games,THA
Carly Solutions GmbH Co KG,apps,DEU
Carmen CARUSO,games,COL
Carousell PH,apps,PHL
"CARTA SYNC GAMES, INC.",games,JPN
"CARTA SYNC GAMES, Inc.",games,JPN
CartaCapital,apps,BRA
Cartoon Network EMEA,games,GBR
Carus-Verlag,apps,CHE
"CarX Technologies, LLC",games,RUS
Casa Editrice Tabacco S.r.l.,apps,ITA
Casa Publicadora Brasileira,apps,BRA
Cascubo Software,apps,BRA
Castle Global,apps,USA
Casualino Games,games,FRA
Cat Studio,games,CHN
CatchItPlay,apps,KOR
Cateater,apps,DNK
"CAVE Interactive CO.,LTD.",games,JPN
"Cayenne's Ark Mobile Co., Ltd.",games,TWN
CayenneTech,games,TWN
Cazii Studio LP,games,THA
CBS Interactive,apps,USA
CDCOM NAVIGATION LLC,apps,RUS
CDL Vehicle Information Services Limited,apps,GBR
CDL VIS Ltd.,apps,GBR
Cecilie Lonn,apps,NOR
Ced Digital & Servizi,apps,ITA
CELL STUDIO,games,ARE
Celsius online,games,FRA
